age,avg_year,free_agency_year,fully_guaranteed,player,position,team,total_guaranteed,total_value
28,3095000,2020,$0,Shelby Harris,3-4-defensive-end,Broncos,0,3095000
24,2899150,2021,"$11,596,600",Jonathan Allen,3-4-defensive-end,Redskins,11596600,11596600
32,2875000,2021,"$1,750,000",Tyson Alualu,3-4-defensive-end,Steelers,1750000,5750000
28,8000000,2023,"$14,047,000",Morgan Moses,right-tackle,Redskins,20000000,40000000
30,8000000,2023,"$15,800,000",Bobby Massie,right-tackle,Bears,15800000,32000000
26,7700000,2020,"$9,500,000",La’el Collins,right-tackle,Cowboys,15400000,15400000
24,6786894,2021,"$27,150,882",Leonard Fournette,running-back,Jaguars,27150882,27150882
28,6500000,2020,"$14,000,000",Lamar Miller,running-back,Texans,14000000,26000000
24,6239085,2021,"$24,956,338",Ezekiel Elliott,running-back,Cowboys,24956338,24956338
31,10953000,2020,"$18,000,000",Anthony Castonzo,left-tackle,Colts,35000000,43812000
28,9250000,2022,"$13,697,000","Charles Leno, Jr.",left-tackle,Bears,18000000,37000000
35,8750000,2020,$0,Joe Staley,left-tackle,49ers,0,17500000
27,1743750,2022,"$1,750,000",Roosevelt Nix,fullback,Steelers,1750000,6975000
27,1500000,2020,"$1,400,000",Keith Smith,fullback,Raiders,1400000,3000000
29,1100000,2020,"$200,000",Zach Line,fullback,Saints,200000,2200000
27,15100000,2023,"$34,000,000",Jarvis Landry,wide-receiver,Browns,47000000,75500000
31,15000000,2020,"$26,750,000",A.J. Green,wide-receiver,Bengals,26750000,60000000
27,3000000,2021,"$1,600,000",David Andrews,center,Patriots,1600000,9000000
27,3000000,2021,"$3,500,000",Greg Mancz,center,Texans,3500000,6000000
26,9000000,2024,"$23,500,000",Shaquille Mason,right-guard,Patriots,23500000,45000000
28,8500000,2021,"$17,000,000",Larry Warford,right-guard,Saints,17000000,34000000
0,648645,2020,$0,Michael Dogbe,3-4-defensive-tackle,Cardinals,0,2594580
26,645000,2020,$0,Daniel Ross,3-4-defensive-tackle,Cowboys,0,645000
31,35000000,2024,"$70,000,000",Russell Wilson,quarterback,Seahawks,107000000,140000000
30,10000000,2023,"$18,500,000",Star Lotulelei,4-3-defensive-tackle,Bills,25000000,50000000
28,822500,2020,"$50,000",Xavier Su’a-Filo,left-guard,Cowboys,50000,1645000
0,810842,2020,$0,Hjalte Froholdt,left-guard,Patriots,0,3243368
28,805000,2020,$0,Jeremiah Sirles,left-guard,Bills,0,805000
25,14400000,2024,"$16,907,000",Danielle Hunter,defensive-line,Vikings,40007000,72000000
28,8000000,2022,"$18,000,000",Trey Burton,tight-end,Bears,22000000,32000000
32,7500000,2021,"$8,000,000",Jared Cook,tight-end,Saints,8000000,15000000
30,7300000,2020,"$12,640,000",Kyle Rudolph,tight-end,Vikings,18500000,36500000
29,2500000,2021,"$600,000",Zach Kerr,3-4-defensive-end,Broncos,600000,5000000
27,2000000,2020,"$400,000",Carl Davis,3-4-defensive-end,Browns,400000,2000000
28,1400000,2020,"$400,000",Josh Mauro,3-4-defensive-end,Raiders,400000,1400000
28,7300000,2023,"$9,000,000",Chris Hubbard,right-tackle,Browns,15150000,36500000
30,6750000,2020,"$8,000,000",Bryan Bulaga,right-tackle,Packers,8000000,33750000
26,5203333,2022,"$5,957,000",Duke Johnson,running-back,Browns,7757000,15610000
28,5166667,2020,"$5,000,000",Giovani Bernard,running-back,Bengals,5000000,15500000
30,8000000,2020,"$12,000,000",Kelvin Beachum,left-tackle,Jets,12000000,24000000
30,7500000,2020,"$2,250,000",Matt Kalil,left-tackle,Texans,2250000,7500000
25,675000,2020,$0,Dan Vitale,fullback,Packers,0,1350000
0,655889,2020,$0,Cullen Gillaspia,fullback,Texans,0,2623556
27,14500000,2022,"$18,000,000",Davante Adams,wide-receiver,Packers,18000000,58000000
26,14400000,2024,"$16,907,000",Stefon Diggs,wide-receiver,Vikings,40007000,72000000
25,2928123,2022,"$11,712,492",Billy Price,center,Bengals,11712492,11712492
26,2750000,2022,"$2,325,000",Spencer Pulley,center,Giants,2325000,8250000
28,8252900,2023,"$14,000,000",Laurent Duvernay-Tardif,right-guard,Chiefs,20000000,41264500
29,645000,2020,$0,Deon Simon,3-4-defensive-tackle,Packers,0,645000
37,34000000,2022,"$37,500,000",Ben Roethlisberger,quarterback,Steelers,50000000,68000000
36,33500000,2024,"$78,700,000",Aaron Rodgers,quarterback,Packers,98200000,134000000
29,10000000,2022,"$17,000,000",Malik Jackson,4-3-defensive-tackle,Eagles,17000000,30000000
29,9333333,2021,"$10,800,000",Dontari Poe,4-3-defensive-tackle,Panthers,13300000,28000000
28,805000,2020,$0,Zac Kerin,left-guard,Redskins,0,805000
30,13500000,2022,"$18,000,000",Carlos Dunlap,defensive-line,Bengals,22000000,40500000
28,6800000,2024,"$7,000,000",Cameron Brate,tight-end,Buccaneers,18000000,40800000
29,6500000,2022,"$9,100,000",Vance McDonald,tight-end,Steelers,16000000,32500000
25,1268463,2021,"$2,990,702",DeMarcus Walker,3-4-defensive-end,Broncos,2990702,5073852
28,1250000,2020,"$250,000",Brent Urban,3-4-defensive-end,Titans,250000,1250000
30,6600000,2021,"$12,660,000",Mitchell Schwartz,right-tackle,Chiefs,15000000,33000000
31,6500000,2022,"$12,350,000",Marcus Cannon,right-tackle,Patriots,14500000,32500000
30,5000000,2022,"$6,500,000",Mark Ingram,running-back,Ravens,6500000,15000000
29,4950000,2022,"$5,750,000",Dion Lewis,running-back,Titans,8250000,19800000
27,6500000,2020,"$500,000",Greg Robinson,left-tackle,Browns,500000,6500000
0,652728,2023,"$90,912",Chandler Cox,fullback,Dolphins,90912,2610912
23,636051,2022,"$84,204",Nick Bawden,fullback,Lions,84204,2544204
30,14250000,2021,"$35,500,000",Julio Jones,wide-receiver,Falcons,47000000,71250000
26,14000000,2021,"$18,000,000",Allen Robinson,wide-receiver,Bears,25200000,42000000
26,2612747,2021,"$10,450,986",Ryan Kelly,center,Colts,10450986,10450986
28,2500000,2021,"$2,500,000",Jonotthan Harrison,center,Jets,2500000,5000000
30,8000000,2021,"$17,000,000",Brandon Brooks,right-guard,Eagles,21000000,40000000
28,645000,2020,$0,Mike Purcell,3-4-defensive-tackle,Broncos,0,645000
24,588333,2022,"$60,000",Gerald Willis,3-4-defensive-tackle,Ravens,60000,1765000
34,30000000,2024,"$94,500,000",Matt Ryan,quarterback,Falcons,100000000,150000000
31,28000000,2021,"$84,000,000",Kirk Cousins,quarterback,Vikings,84000000,84000000
31,9250000,2021,"$20,000,000",Damon Harrison,4-3-defensive-tackle,Lions,24000000,46250000
34,5275000,2021,"$5,250,000",Brandon Mebane,4-3-defensive-tackle,Chargers,7000000,10550000
27,803357,2020,"$773,428",Joe Thuney,left-guard,Patriots,773428,3213428
0,802718,2023,"$690,872",Phil Haynes,left-guard,Seahawks,690872,3210872
31,13333333,2024,"$27,000,000",Brandon Graham,defensive-line,Eagles,27000000,40000000
26,6500000,2020,"$6,000,000",Eric Ebron,tight-end,Colts,6000000,13000000
29,6300000,2020,"$7,500,000",Jack Doyle,tight-end,Colts,9500000,18900000
25,1143026,2021,"$2,602,987",Dalvin Tomlinson,3-4-defensive-end,Giants,2602987,4572102
24,1011970,2022,"$1,029,516",B.J. Hill,3-4-defensive-end,Giants,1029516,4047880
26,6000000,2020,"$3,000,000",Daryl Williams,right-tackle,Panthers,3000000,6000000
31,6000000,2020,"$7,650,000",Marcus Gilbert,right-tackle,Cardinals,7650000,30000000
23,4310326,2021,"$17,241,304",Christian McCaffrey,running-back,Panthers,17241304,17241304
26,4250000,2021,"$3,250,000",Tevin Coleman,running-back,49ers,5250000,8500000
37,6000000,2020,"$3,500,000",Jason Peters,left-tackle,Eagles,3500000,6000000
31,6000000,2021,"$6,500,000",Alejandro Villanueva,left-tackle,Steelers,6500000,24000000
26,626077,2020,"$164,308",Andy Janovich,fullback,Broncos,164308,2504308
27,617420,2020,"$129,680",Derek Watt,fullback,Chargers,129680,2469680
30,13000000,2021,"$11,000,000",TY Hilton,wide-receiver,Colts,39000000,65000000
27,2500000,2020,"$2,150,000",Russell Bodine,center,Bills,2150000,5000000
28,2275000,2021,"$1,000,000",Austin Reiter,center,Chiefs,1000000,4550000
28,7250000,2021,"$15,000,000",Brian Winters,right-guard,Jets,15000000,29000000
31,6100000,2021,"$2,500,000",Kyle Long,right-guard,Bears,4000000,12200000
22,585500,2022,"$1,500",Daryle Banfield,3-4-defensive-tackle,Bears,1500,1756500
24,585000,2022,$0,Kalil Morris,3-4-defensive-tackle,Ravens,0,1755000
28,27500000,2023,"$48,700,000",Jimmy Garoppolo,quarterback,49ers,74100000,137500000
31,27000000,2023,"$60,500,000",Matt Stafford,quarterback,Lions,92000000,135000000
25,5000000,2021,"$5,000,000",Darius Philon,4-3-defensive-tackle,Cardinals,5000000,10000000
25,5000000,2022,"$7,500,000",Malcom Brown,4-3-defensive-tackle,Saints,5500000,15000000
0,752098,2023,"$488,392",Michael Jordan,left-guard,Bengals,488392,3008392
29,720000,2020,$0,Jeremy Vujnovich,left-guard,Cardinals,0,720000
27,6250000,2022,"$6,300,000",Tyler Kroft,tight-end,Bills,9800000,18750000
26,6100000,2022,"$6,250,000",CJ Uzomah,tight-end,Bengals,6250000,18300000
27,984476,2020,"$1,738,928",Adam Gotsis,3-4-defensive-end,Broncos,1738928,3937904
26,968930,2022,"$987,720",Nathan Shepherd,3-4-defensive-end,Jets,987720,3875720
30,912500,2021,$0,Billy Winn,3-4-defensive-end,Broncos,200000,1825000
34,5500000,2020,"$4,250,000",Demar Dotson,right-tackle,Buccaneers,8500000,16500000
25,5383333,2022,"$5,500,000",Bobby Hart,right-tackle,Bengals,6500000,16150000
27,4000000,2021,"$4,690,000",James White,running-back,Patriots,4690000,12000000
28,3850000,2020,"$3,850,000",Theo Riddick,running-back,Lions,3850000,11550000
29,3600000,2023,"$7,200,000",Latavius Murray,running-back,Saints,7200000,14400000
25,5121083,2021,"$20,484,332",Ronnie Stanley,left-tackle,Ravens,20484332,20484332
34,5000000,2021,"$6,600,000",Ty Nsekhe,left-tackle,Bills,8200000,10000000
25,600000,2021,$0,Alex Armah,fullback,Panthers,0,2400000
23,585667,2022,"$10,000",George Aston,fullback,Broncos,10000,1757000
25,585000,2022,$0,Jakob Johnson,fullback,Patriots,0,1755000
29,13000000,2022,"$14,250,000",Alshon Jeffery,wide-receiver,Eagles,27000000,52000000
27,11250000,2021,"$20,656,000",Keenan Allen,wide-receiver,Chargers,24156000,45000000
28,2150000,2021,"$1,400,000",Tyler Larsen,center,Panthers,1400000,4300000
0,1695655,2020,$0,Elgton Jenkins,center,Packers,0,6782618
33,1350000,2020,"$710,000",A.Q. Shipley,center,Cardinals,710000,2700000
27,17000000,2024,"$43,000,000",C.J. Mosley,inside-linebacker,Jets,51000000,85000000
26,6083333,2022,"$12,500,000",Jamon Brown,right-guard,Falcons,12750000,18250000
26,5700000,2022,"$6,500,000",John Miller,right-guard,Bengals,7500000,17100000
25,557167,2020,"$6,500",Patrick Ricard,3-4-defensive-tackle,Ravens,6500,1671500
0,540000,2021,$0,Abdullah Anderson,3-4-defensive-tackle,Bears,0,1080000
28,25005000,2023,"$40,000,000",Derek Carr,quarterback,Raiders,70200000,125025000
40,25000000,2020,"$27,000,000",Drew Brees,quarterback,Saints,27000000,50000000
0,4918789,2023,"$19,675,154",Ed Oliver,4-3-defensive-tackle,Bills,19675154,19675154
27,707974,2020,"$491,896",Alex Lewis,left-guard,Ravens,491896,2831896
25,12000000,2020,"$12,000,000","Dante Fowler, Jr.",defensive-line,Rams,12000000,12000000
26,6000000,2022,"$10,000,000",Nick Boyle,tight-end,Ravens,10000000,18000000
0,899109,2020,$0,Dre’Mont Jones,3-4-defensive-end,Broncos,0,3596436
26,895000,2020,"$240,000",Rakeem Nunez-Roches,3-4-defensive-end,Buccaneers,240000,895000
27,4750000,2022,"$5,000,000",Ty Sambrailo,right-tackle,Falcons,6000000,14250000
24,4585469,2022,"$18,341,876",Mike McGlinchey,right-tackle,49ers,18341876,18341876
29,3500000,2020,"$4,500,000",Chris Thompson,running-back,Redskins,6496000,7000000
29,3250000,2021,"$5,500,000",Rex Burkhead,running-back,Patriots,5500000,9750000
27,3750000,2021,"$1,500,000",Cameron Fleming,left-tackle,Cowboys,1500000,7500000
24,3367827,2022,"$13,471,308",Kolton Miller,left-tackle,Raiders,13471308,13471308
2020,585000,2022,$0,Khari Blasingame,fullback,Vikings,0,1755000
0,540000,2021,$0,Elijah Wellman,fullback,Redskins,0,1080000
27,11100000,2023,"$10,000,000",Tyrell Williams,wide-receiver,Raiders,22000000,44400000
32,11000000,2020,"$20,000,000",Emmanuel Sanders,wide-receiver,Broncos,26900000,33000000
26,1193743,2020,"$2,789,752",Nick Martin,center,Texans,2789752,4774972
27,1056142,2017,"$2,364,438",Cody Whitehair,center,Bears,2364438,4224568
28,12359059,2022,"$27,000,000",Luke Kuechly,inside-linebacker,Panthers,34363324,61795295
27,5400000,2022,"$4,200,000",Mark Glowinski,right-guard,Colts,4200000,16200000
28,5303910,2020,"$21,215,638",Brandon Scherff,right-guard,Redskins,21215638,21215638
26,15050000,2025,"$27,185,641",Xavien Howard,defensive-back,Dolphins,46000000,75250000
24,525000,2020,$0,James Looney,3-4-defensive-tackle,Packers,0,1050000
25,525000,2020,$0,Tyler Lancaster,3-4-defensive-tackle,Packers,0,1050000
24,495000,2020,$0,Joey Ivie,3-4-defensive-tackle,Chiefs,0,495000
30,24594000,2022,"$47,000,000",Andrew Luck,quarterback,Colts,87000000,122970000
35,23500000,2023,"$55,000,000",Alex Smith,quarterback,Redskins,71000000,94000000
34,22133333,2022,"$44,000,000",Joe Flacco,quarterback,Broncos,62000000,66400000
30,22000000,2023,"$45,125,000",Nick Foles,quarterback,Jaguars,50125000,88000000
25,4547748,2021,"$18,190,990",DeForest Buckner,4-3-defensive-tackle,49ers,18190990,18190990
